# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    1.125165397    1.125200474    0.000311828
    0.011009009   12.462351447   12.462740541    0.003452311
    0.021018018   24.181475912   24.182234208    0.006691240
    0.031027027   36.652117066   36.653275882    0.010124974
    0.041036036   50.286172867   50.287784280    0.013863424
    0.051045045   65.561187253   65.563330258    0.018038232
    0.061054054   83.055681707   83.058466284    0.022813044
    0.071063063  103.512305762  103.515871059    0.028396615
    0.081072072  127.929494205  127.934007812    0.035059134
    0.091081081  157.645102385  157.650774220    0.043150752
    0.101090090  194.373692611  194.380797680    0.053117175
    0.111099099  240.169510404  240.178397271    0.065496484
    0.121108108  297.195109251  297.206168327    0.080856573
    0.131117117  366.975277402  366.988823143    0.099585361
    0.141126126  448.618855934  448.634844458    0.121390864
    0.151135135  535.730190306  535.747754752    0.144431204
    0.161144144  613.531521219  613.548694758    0.164514253
    0.171153153  661.203107022  661.217605398    0.175829041
    0.181162162  663.396722390  663.407705988    0.174302221
    0.191171171  622.452068661  622.460744396    0.160925364
    0.201180180  556.512688522  556.520968957    0.140853243
    0.211189189  486.153869539  486.163059605    0.119556051
    0.221198198  424.466863480  424.477268830    0.100381408
    0.231207207  375.591188335  375.602008027    0.084516080
    0.241216216  337.235142687  337.244473757    0.071862147
    0.251225225  303.917808702  303.923400100    0.061795985
    0.261234234  270.738430575  270.739272881    0.053644659
    0.271243243  236.373290249  236.370386489    0.046932211
    0.281252252  202.714884056  202.710169225    0.041396788
    0.291261261  172.168445847  172.163398598    0.036877626
    0.301270270  145.925968574  145.921251295    0.033230482
    0.311279279  124.001118114  123.996921867    0.030311669
    0.321288288  105.879950359  105.876339975    0.027989219
    0.331297297   90.959907498   90.956913074    0.026151954
    0.341306306   78.685730563   78.683326567    0.024711498
    0.351315315   68.568233024   68.566343456    0.023600321
    0.361324324   60.190415727   60.188944259    0.022768656
    0.371333333   53.210271373   53.209125279    0.022181700
    0.381342342   47.355614437   47.354714859    0.021817559
    0.391351351   42.413637015   42.412920467    0.021665954
    0.401360360   38.219353852   38.218770128    0.021727330
    0.411369369   34.645153212   34.644662603    0.022011492
    0.421378378   31.591819437   31.591390735    0.022533625
    0.431387387   28.980175693   28.979786089    0.023303177
    0.441396396   26.741700798   26.741338810    0.024298024
    0.451405405   24.806852215   24.806523529    0.025418658
    0.461414414   23.094319460   23.094050100    0.026442518
    0.471423423   21.514273184   21.514097382    0.027054454
    0.481432432   19.997482108   19.997413701    0.027022206
    0.491441441   18.527283567   18.527300989    0.026386173
    0.501450450   17.131586420   17.131650801    0.025419161
    0.511459459   15.844721189   15.844800921    0.024412497
    0.521468468   14.683308543   14.683386873    0.023541292
    0.531477477   13.646183220   13.646254127    0.022866518
    0.541486486   12.722866663   12.722929353    0.022385434
    0.551495495   11.900243610   11.900299146    0.022071307
    0.561504505   11.165854181   11.165903969    0.021893414
    0.571513514   10.509057250   10.509102497    0.021824591
    0.581522523    9.921227716    9.921269301    0.021843025
    0.591531532    9.395594585    9.395633074    0.021931919
    0.601540541    8.926939906    8.926975591    0.022078575
    0.611549550    8.511144627    8.511177557    0.022273465
    0.621558559    8.144398757    8.144428726    0.022509475
    0.631567568    7.821841610    7.821868134    0.022781316
    0.641576577    7.535867243    7.535889603    0.023085106
    0.651585586    7.275856793    7.275874330    0.023418066
    0.661594595    7.032093834    7.032106431    0.023778323
    0.671603604    6.802272344    6.802280414    0.024164779
    0.681612613    6.592958026    6.592961726    0.024577054
    0.691621622    6.414453894    6.414452646    0.025015461
    0.701630631    6.276728204    6.276721058    0.025481048
    0.711639640    6.189454722    6.189440621    0.025975676
    0.721648649    6.163049348    6.163026804    0.026502136
    0.731657658    6.209165783    6.209132517    0.027064250
    0.741666667    6.340680708    6.340633595    0.027666802
    0.751675676    6.569937870    6.569873122    0.028314979
    0.761684685    6.902457387    6.902371049    0.029012627
    0.771693694    7.322706368    7.322595377    0.029758412
    0.781702703    7.772927605    7.772791368    0.030540170
    0.791711712    8.143775747    8.143616873    0.031332571
    0.801720721    8.315628307    8.315450121    0.032108794
    0.811729730    8.249755799    8.249557205    0.032865945
    0.821738739    8.032415409    8.032188476    0.033637416
    0.831747748    7.809871877    7.809605031    0.034474778
    0.841756757    7.697845738    7.697531031    0.035421487
    0.851765766    7.741889967    7.741534909    0.036498481
    0.861774775    7.910528084    7.910173342    0.037696818
    0.871783784    8.093052358    8.092784916    0.038974076
    0.881792793    8.122739789    8.122669602    0.040267979
    0.891801802    7.862068120    7.862253126    0.041532241
    0.901810811    7.303660058    7.304051695    0.042753525
    0.911819820    6.568783930    6.569269701    0.043904587
    0.921828829    5.805465654    5.805948674    0.044881483
    0.931837838    5.109585309    5.110016191    0.045534973
    0.941846847    4.517143275    4.517509290    0.045805650
    0.951855856    4.028442102    4.028748352    0.045803015
    0.961864865    3.629630720    3.629888014    0.045722001
    0.971873874    3.304097228    3.304316618    0.045717839
    0.981882883    3.036954915    3.037145867    0.045864053
    0.991891892    2.816243899    2.816414018    0.046175108
    1.001900901    2.632860865    2.633016144    0.046638294
    1.011909910    2.480106753    2.480251932    0.047233472
    1.021918919    2.353177489    2.353316341    0.047941736
    1.031927928    2.248652056    2.248787495    0.048748186
    1.041936937    2.163875141    2.164009021    0.049642270
    1.051945946    2.096022202    2.096154630    0.050617360
    1.061954955    2.040705441    2.040833735    0.051670250
    1.071963964    1.990693535    1.990812020    0.052800790
    1.081972973    1.936800370    1.936903260    0.054011714
    1.091981982    1.872606381    1.872693198    0.055308618
    1.101990991    1.799241693    1.799318927    0.056699900
    1.112000000    1.723945539    1.724021943    0.058196237
    1.122009009    1.654298430    1.654380260    0.059808557
    1.132018018    1.594553440    1.594643824    0.061542480
    1.142027027    1.545143209    1.545243964    0.063386535
    1.152036036    1.503075127    1.503188660    0.065294920
    1.162045045    1.462535093    1.462664927    0.067179812
    1.172054054    1.417126383    1.417275502    0.068944365
    1.182063063    1.363887328    1.364055888    0.070555616
    1.192072072    1.305177635    1.305363246    0.072079747
    1.202081081    1.245973106    1.246173308    0.073631217
    1.212090090    1.190235769    1.190449646    0.075304658
    1.222099099    1.139739556    1.139967760    0.077153539
    1.232108108    1.094690214    1.094934425    0.079202982
    1.242117117    1.054585479    1.054848008    0.081467265
    1.252126126    1.018741876    1.019025497    0.083961144
    1.262135135    0.986523478    0.986831426    0.086705698
    1.272144144    0.957412758    0.957748808    0.089731193
    1.282153153    0.931015371    0.931383985    0.093078152
    1.292162162    0.907040445    0.907446964    0.096795830
    1.302171171    0.885268162    0.885719065    0.100934685
    1.312180180    0.865500707    0.866003963    0.105526545
    1.322189189    0.847491011    0.848056566    0.110547645
    1.332198198    0.830875030    0.831515494    0.115880179
    1.342207207    0.815205223    0.815936827    0.121333115
    1.352216216    0.800172856    0.801016608    0.126773593
    1.362225225    0.785846222    0.786829199    0.132249486
    1.372234234    0.772606999    0.773763887    0.137899596
    1.382243243    0.760870714    0.762245777    0.143750402
    1.392252252    0.750946599    0.752595578    0.149720305
    1.402261261    0.743108659    0.745098808    0.155880504
    1.412270270    0.737687698    0.740091992    0.162631556
    1.422279279    0.735049887    0.737928440    0.170570244
    1.432288288    0.735498306    0.738859970    0.180266131
    1.442297297    0.739185324    0.742937155    0.192161591
    1.452306306    0.746091056    0.750018688    0.206524605
    1.462315315    0.755975188    0.759805618    0.223293578
    1.472324324    0.767976594    0.771493243    0.241744918
    1.482333333    0.779936636    0.783045664    0.260213622
    1.492342342    0.788601492    0.791315540    0.276553154
    1.502351351    0.791535230    0.793924382    0.289657822
    1.512360360    0.789007403    0.791160365    0.300574048
    1.522369369    0.783605240    0.785609407    0.311515311
    1.532378378    0.778426939    0.780362734    0.323924772
    1.542387387    0.775824828    0.777768272    0.337783407
    1.552396396    0.777468056    0.779496297    0.352523419
    1.562405405    0.785194997    0.787391823    0.368060944
