# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000134342    0.000134343    0.000011841
    0.011009009    0.001479241    0.001479251    0.000130362
    0.021018018    0.002825460    0.002825480    0.000248909
    0.031027027    0.004174204    0.004174233    0.000367504
    0.041036036    0.005526685    0.005526723    0.000486172
    0.051045045    0.006884125    0.006884172    0.000604935
    0.061054054    0.008247760    0.008247817    0.000723818
    0.071063063    0.009618847    0.009618913    0.000842844
    0.081072072    0.010998661    0.010998737    0.000962037
    0.091081081    0.012388505    0.012388591    0.001081421
    0.101090090    0.013789711    0.013789807    0.001201019
    0.111099099    0.015203647    0.015203752    0.001320858
    0.121108108    0.016631716    0.016631831    0.001440960
    0.131117117    0.018075366    0.018075492    0.001561353
    0.141126126    0.019536095    0.019536231    0.001682060
    0.151135135    0.021015450    0.021015597    0.001803107
    0.161144144    0.022515041    0.022515198    0.001924522
    0.171153153    0.024036541    0.024036709    0.002046330
    0.181162162    0.025581695    0.025581874    0.002168559
    0.191171171    0.027152326    0.027152516    0.002291236
    0.201180180    0.028750341    0.028750543    0.002414390
    0.211189189    0.030377745    0.030377958    0.002538049
    0.221198198    0.032036641    0.032036866    0.002662243
    0.231207207    0.033729246    0.033729483    0.002787003
    0.241216216    0.035457898    0.035458148    0.002912359
    0.251225225    0.037225070    0.037225333    0.003038343
    0.261234234    0.039033379    0.039033655    0.003164989
    0.271243243    0.040885602    0.040885891    0.003292330
    0.281252252    0.042784688    0.042784991    0.003420400
    0.291261261    0.044733778    0.044734096    0.003549237
    0.301270270    0.046736219    0.046736551    0.003678878
    0.311279279    0.048795585    0.048795933    0.003809361
    0.321288288    0.050915702    0.050916065    0.003940726
    0.331297297    0.053100664    0.053101043    0.004073016
    0.341306306    0.055354869    0.055355265    0.004206274
    0.351315315    0.057683042    0.057683455    0.004340546
    0.361324324    0.060090271    0.060090702    0.004475879
    0.371333333    0.062582042    0.062582492    0.004612323
    0.381342342    0.065164283    0.065164752    0.004749930
    0.391351351    0.067843407    0.067843896    0.004888755
    0.401360360    0.070626366    0.070626876    0.005028856
    0.411369369    0.073520706    0.073521238    0.005170295
    0.421378378    0.076534637    0.076535191    0.005313135
    0.431387387    0.079677104    0.079677682    0.005457447
    0.441396396    0.082957871    0.082958474    0.005603301
    0.451405405    0.086387618    0.086388246    0.005750777
    0.461414414    0.089978044    0.089978699    0.005899957
    0.471423423    0.093741999    0.093742682    0.006050929
    0.481432432    0.097693616    0.097694329    0.006203790
    0.491441441    0.101848477    0.101849220    0.006358641
    0.501450450    0.106223798    0.106224573    0.006515593
