# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.160974896    0.160983467    0.000092895
    0.011009009    1.790723591    1.790819714    0.001025190
    0.021018018    3.514840179    3.515032727    0.001970149
    0.031027027    5.426205209    5.426511145    0.002939860
    0.041036036    7.629628609    7.630072071    0.003947539
    0.051045045   10.242289328   10.242897144    0.005008178
    0.061054054   13.381481597   13.382269245    0.006139337
    0.071063063   17.122108347   17.123045112    0.007362153
    0.081072072   21.396131215   21.397072226    0.008702658
    0.091081081   25.822053849   25.822654478    0.010193542
    0.101090090   29.562866500   29.562586636    0.011876529
    0.111099099   31.511166565   31.509537776    0.013805615
    0.121108108   30.981071824   30.978119891    0.016051455
    0.131117117   28.304148671   28.300446422    0.018707215
    0.141126126   24.538728341   24.534967571    0.021896052
    0.151135135   20.698436148   20.695061585    0.025779815
    0.161144144   17.357667687   17.354838137    0.030566684
    0.171153153   14.709207296   14.706911314    0.036510649
    0.181162162   12.745105694   12.743265660    0.043884381
    0.191171171   11.381543272   11.380070466    0.052884824
    0.201180180   10.507846471   10.506662289    0.063402583
    0.211189189    9.984441641    9.983482605    0.074606057
    0.221198198    9.622702088    9.621918668    0.084521087
    0.231207207    9.199158933    9.198512763    0.090300146
    0.241216216    8.547029832    8.546491175    0.089826077
    0.251225225    7.657208652    7.656754623    0.083473849
    0.261234234    6.655542884    6.655156125    0.073770512
    0.271243243    5.684695593    5.684363044    0.063431332
    0.281252252    4.828395555    4.828107321    0.054103906
    0.291261261    4.110902889    4.110651342    0.046377355
    0.301270270    3.523650464    3.523429612    0.040246092
    0.311279279    3.046447360    3.046252413    0.035478072
    0.321288288    2.658074239    2.657901325    0.031801096
    0.331297297    2.340145506    2.339991457    0.028973405
    0.341306306    2.077888933    2.077751141    0.026800821
    0.351315315    1.859801993    1.859678290    0.025133896
    0.361324324    1.677026114    1.676914690    0.023859586
    0.371333333    1.522744356    1.522643690    0.022892786
    0.381342342    1.391687683    1.391596491    0.022169297
    0.391351351    1.279755090    1.279672280    0.021640435
    0.401360360    1.183729113    1.183653754    0.021269016
    0.411369369    1.101064908    1.100996204    0.021026416
    0.421378378    1.029734104    1.029671371    0.020890429
    0.431387387    0.968108859    0.968051507    0.020843694
    0.441396396    0.914875312    0.914822832    0.020872546
    0.451405405    0.868968598    0.868920548    0.020966164
    0.461414414    0.829523783    0.829479780    0.021115935
    0.471423423    0.795838671    0.795798384    0.021314979
    0.481432432    0.767345584    0.767308724    0.021557791
    0.491441441    0.743590036    0.743556352    0.021839966
    0.501450450    0.724214810    0.724184086    0.022157996
    0.511459459    0.708948437    0.708920484    0.022509104
    0.521468468    0.697597347    0.697572004    0.022891127
    0.531477477    0.690041317    0.690018442    0.023302420
    0.541486486    0.686232007    0.686211476    0.023741789
    0.551495495    0.686194609    0.686176314    0.024208439
    0.561504505    0.690032807    0.690016648    0.024701940
    0.571513514    0.697937251    0.697923133    0.025222208
    0.581522523    0.710197545    0.710185370    0.025769498
    0.591531532    0.727216645    0.727206301    0.026344413
    0.601540541    0.749523480    0.749514844    0.026947930
    0.611549550    0.777772251    0.777765186    0.027581444
    0.621558559    0.812702199    0.812696589    0.028246834
    0.631567568    0.855013624    0.855009478    0.028946565
    0.641576577    0.905132225    0.905129916    0.029683821
    0.651585586    0.962994095    0.962994754    0.030462682
    0.661594595    1.028327945    1.028333841    0.031288355
    0.671603604    1.101851884    1.101866361    0.032167399
    0.681612613    1.186566831    1.186593639    0.033107876
    0.691621622    1.287676860    1.287719555    0.034119144
    0.701630631    1.411538429    1.411600458    0.035210746
    0.711639640    1.565204186    1.565289493    0.036389584
    0.721648649    1.756932399    1.757046121    0.037654825
    0.731657658    1.997178644    1.997327669    0.038991170
    0.741666667    2.299711351    2.299904779    0.040362283
    0.751675676    2.682553983    2.682803513    0.041709985
    0.761684685    3.168174547    3.168494355    0.042975926
    0.771693694    3.781605597    3.782010310    0.044149159
    0.781702703    4.543359605    4.543857687    0.045289263
    0.791711712    5.451249911    5.451828434    0.046489651
    0.801720721    6.445372960    6.445972513    0.047829356
    0.811729730    7.366408497    7.366904374    0.049359038
    0.821738739    7.961537825    7.961773017    0.051111765
    0.831747748    8.009127607    8.009017388    0.053117049
    0.841756757    7.494996962    7.494603463    0.055410303
    0.851765766    6.625571660    6.625045008    0.058038173
    0.861774775    5.659408314    5.658878688    0.061061601
    0.871783784    4.769059044    4.768593693    0.064558298
    0.881792793    4.024471418    4.024088851    0.068626877
    0.891801802    3.433132614    3.432827335    0.073392374
    0.901810811    2.976956598    2.976715051    0.078999972
    0.911819820    2.631861650    2.631669476    0.085568393
    0.921828829    2.374950526    2.374794962    0.093077929
    0.931837838    2.185603502    2.185473774    0.101205899
    0.941846847    2.044896343    2.044783917    0.109243240
    0.951855856    1.936769384    1.936669017    0.116378196
    0.961864865    1.851753905    1.851664424    0.122361416
    0.971873874    1.788905566    1.788828357    0.127818578
    0.981882883    1.752541817    1.752478061    0.133665024
    0.991891892    1.747647441    1.747596752    0.140266602
    1.001900901    1.778187748    1.778148572    0.147186746
    1.011909910    1.847727336    1.847697947    0.153669393
    1.021918919    1.960018892    1.959998268    0.159339779
    1.031927928    2.117769286    2.117757915    0.164413969
    1.041936937    2.318342667    2.318343809    0.169513426
    1.051945946    2.545970619    2.545991916    0.175504569
    1.061954955    2.764219214    2.764272756    0.183275188
    1.071963964    2.921808101    2.921905533    0.193549462
    1.081972973    2.983152029    2.983295813    0.206868374
    1.091981982    2.960494489    2.960675733    0.223406534
    1.101990991    2.906265149    2.906472326    0.242454969
    1.112000000    2.876672238    2.876900128    0.261943669
    1.122009009    2.909882848    2.910134887    0.278807168
    1.132018018    3.027759332    3.028046355    0.290589757
    1.142027027    3.244985406    3.245323603    0.297067598
    1.152036036    3.574265179    3.574672896    0.300301191
    1.162045045    4.024670143    4.025161191    0.303469121
    1.172054054    4.591724085    4.592293573    0.309455048
    1.182063063    5.236243368    5.236844891    0.319367500
    1.192072072    5.856173469    5.856701156    0.331388798
    1.202081081    6.284876005    6.285189749    0.340948125
    1.212090090    6.367541939    6.367557702    0.343330517
    1.222099099    6.082540710    6.082304146    0.337553582
    1.232108108    5.563106373    5.562749947    0.327276797
    1.242117117    4.988809248    4.988455579    0.317746435
    1.252126126    4.486246029    4.485964548    0.312865641
    1.262135135    4.111824787    4.111642325    0.314673879
    1.272144144    3.876542876    3.876466172    0.324132596
    1.282153153    3.769694212    3.769723683    0.341937791
    1.292162162    3.771216386    3.771347518    0.369002270
    1.302171171    3.856647804    3.856861639    0.406662593
    1.312180180    3.995975390    3.996225622    0.456666119
    1.322189189    4.146541548    4.146753972    0.520860419
    1.332198198    4.255619575    4.255722082    0.600309076
    1.342207207    4.289677954    4.289651670    0.693347381
    1.352216216    4.263010291    4.262905915    0.792466814
    1.362225225    4.222370728    4.222268213    0.882350291
    1.372234234    4.208473330    4.208435208    0.944801714
    1.382243243    4.241681368    4.241732312    0.971476258
    1.392252252    4.330035835    4.330162949    0.970480564
    1.402261261    4.473407811    4.473575345    0.955947027
    1.412270270    4.663528059    4.663702009    0.933818220
    1.422279279    4.894510883    4.894680622    0.900806797
    1.432288288    5.171444255    5.171619635    0.855013689
    1.442297297    5.492252142    5.492433710    0.803100921
    1.452306306    5.816737962    5.816890616    0.755903059
    1.462315315    6.065276085    6.065340684    0.721086537
    1.472324324    6.168795600    6.168740787    0.701439394
    1.482333333    6.131270862    6.131128029    0.697227874
    1.492342342    6.029002040    6.028838102    0.707639246
    1.502351351    5.947498475    5.947368311    0.729404344
    1.512360360    5.930195630    5.930122689    0.754599245
    1.522369369    5.971352736    5.971334675    0.771520265
    1.532378378    6.040048151    6.040069720    0.771388192
    1.542387387    6.110209900    6.110252099    0.755928784
    1.552396396    6.171318238    6.171363757    0.736163464
    1.562405405    6.221188089    6.221222774    0.724123214
    1.572414414    6.250595441    6.250599822    0.727351869
    1.582423423    6.234347425    6.234298344    0.748890320
    1.592432432    6.158277580    6.158175743    0.789301812
    1.602441441    6.058856413    6.058741252    0.847271610
    1.612450450    6.014391205    6.014317391    0.917147991
    1.622459459    6.099515462    6.099524075    0.985371870
    1.632468468    6.355799254    6.355906171    1.031982806
    1.642477477    6.783916734    6.784107263    1.042079530
    1.652486486    7.334118003    7.334339141    1.018560891
    1.662495495    7.893745269    7.893907332    0.979843875
    1.672504505    8.310862345    8.310875220    0.945982006
    1.682513514    8.486197503    8.486034249    0.930147824
    1.692522523    8.461872240    8.461590982    0.939222426
    1.702531532    8.391473869    8.391168157    0.976451137
    1.712540541    8.426613415    8.426356309    1.041493605
    1.722549550    8.639144838    8.638971756    1.127633445
    1.732558559    9.002388148    9.002299731    1.218166471
    1.742567568    9.401192360    9.401154269    1.287079692
    1.752576577    9.675898502    9.675846660    1.309701344
    1.762585586    9.705322136    9.705194663    1.278575156
    1.772594595    9.476189002    9.475965872    1.208957184
    1.782603604    9.081489312    9.081199949    1.127788367
    1.792612613    8.663286389    8.662985711    1.058307023
    1.802621622    8.345973358    8.345710480    1.013137014
    1.812630631    8.186615052    8.186415174    0.995412955
    1.822639640    8.157398270    8.157263360    1.001708045
    1.832648649    8.166556099    8.166476870    1.024273389
    1.842657658    8.122294386    8.122262856    1.053951176
    1.852666667    8.002761466    8.002772580    1.084084573
    1.862675676    7.854437711    7.854477617    1.112177371
    1.872684685    7.724732935    7.724770870    1.137463587
    1.882693694    7.621489123    7.621492062    1.158581331
    1.892702703    7.542398481    7.542360338    1.176348417
    1.902711712    7.518909970    7.518858229    1.197611655
    1.912720721    7.601915140    7.601882889    1.232630573
    1.922729730    7.801076468    7.801071566    1.288191168
    1.932738739    8.037768327    8.037761972    1.362872802
    1.942747748    8.155274351    8.155214760    1.447212562
    1.952756757    8.010373884    8.010226220    1.529469074
    1.962765766    7.590054943    7.589833740    1.604768079
    1.972774775    7.020726024    7.020481149    1.681097777
    1.982783784    6.460761437    6.460543040    1.775753332
    1.992792793    6.007349835    6.007191453    1.903655803
    2.002801802    5.679604637    5.679520028    2.066581617
    2.012810811    5.445050309    5.445028746    2.249049689
    2.022819820    5.251007208    5.251014336    2.419765754
    2.032828829    5.045562682    5.045558665    2.537371749
    2.042837838    4.793694642    4.793656943    2.565301853
    2.052846847    4.490078180    4.490007935    2.493776039
    2.062855856    4.155855163    4.155766449    2.347772880
    2.072864865    3.820615763    3.820522209    2.169861307
    2.082873874    3.506425043    3.506335088    1.996930158
    2.092882883    3.222884104    3.222803845    1.849631896
    2.102891892    2.969568911    2.969503268    1.733265285
    2.112900901    2.742660548    2.742609651    1.644590763
    2.122909910    2.541230406    2.541188102    1.579504459
    2.132918919    2.367361088    2.367319313    1.535099521
    2.142927928    2.223388557    2.223342215    1.507351519
    2.152936937    2.110889222    2.110836658    1.491035903
    2.162945946    2.029330465    2.029270833    1.481570685
    2.172954955    1.974115787    1.974047083    1.473846258
    2.182963964    1.937769593    1.937688919    1.460833832
    2.192972973    1.915542393    1.915447358    1.439146866
    2.202981982    1.910151876    1.910041003    1.415975534
    2.212990991    1.929706646    1.929578460    1.406006381
    2.223000000    1.981608638    1.981461316    1.422109515
    2.233009009    2.068465972    2.068298456    1.469762407
    2.243018018    2.187753464    2.187566672    1.546171850
    2.253027027    2.335516382    2.335312050    1.641370398
    2.263036036    2.512475511    2.512252651    1.741776020
    2.273045045    2.725081229    2.724834649    1.837686169
    2.283054054    2.977386594    2.977110902    1.929990332
    2.293063063    3.262091973    3.261791472    2.028157950
    2.303072072    3.559147915    3.558851909    2.141825284
    2.313081081    3.838066273    3.837838226    2.273815079
    2.323090090    4.060684481    4.060600414    2.416863979
    2.333099099    4.195480979    4.195578262    2.555781166
    2.343108108    4.237759649    4.238010518    2.675363990
    2.353117117    4.208341929    4.208679707    2.768986148
    2.363126126    4.134691752    4.135047397    2.840158287
    2.373135135    4.035165658    4.035487243    2.891002347
    2.383144144    3.914048691    3.914309399    2.908641057
    2.393153153    3.770568222    3.770765472    2.868958663
    2.403162162    3.611437242    3.611581313    2.758182392
    2.413171171    3.450165327    3.450265596    2.590110688
    2.423180180    3.295106326    3.295167293    2.397751467
    2.433189189    3.144435852    3.144461267    2.212147930
    2.443198198    2.993773996    2.993770357    2.053811915
    2.453207207    2.843762672    2.843740158    1.934745277
    2.463216216    2.699354925    2.699326785    1.859285380
    2.473225225    2.562643651    2.562622470    1.823460471
    2.483234234    2.427305488    2.427297826    1.816617283
    2.493243243    2.282247700    2.282252393    1.826030795
    2.503252252    2.121785734    2.121797588    1.841600814
    2.513261261    1.952608506    1.952622949    1.857505436
    2.523270270    1.789839763    1.789854356    1.870855696
    2.533279279    1.647031077    1.647044406    1.881194578
    2.543288288    1.530911256    1.530921590    1.893360300
    2.553297297    1.442295567    1.442300695    1.917105058
    2.563306306    1.378595675    1.378593450    1.958573362
    2.573315315    1.335990601    1.335979148    2.012773456
    2.583324324    1.311539765    1.311517490    2.065719010
    2.593333333    1.304730099    1.304695995    2.102502080
    2.603342342    1.317069078    1.317023028    2.115159264
    2.613351351    1.350139082    1.350082055    2.109826924
    2.623360360    1.404207289    1.404141549    2.107216020
    2.633369369    1.478576429    1.478505000    2.131565493
    2.643378378    1.573301767    1.573226859    2.198843392
    2.653387387    1.690084573    1.690007251    2.311659019
    2.663396396    1.829841375    1.829763748    2.456250350
    2.673405405    1.989151491    1.989077290    2.602022999
    2.683414414    2.161272195    2.161202805    2.713816496
    2.693423423    2.340740844    2.340673113    2.775798333
    2.703432432    2.522701315    2.522633402    2.802380295
    2.713441441    2.694611067    2.694549741    2.820780299
    2.723450450    2.830036191    2.829997156    2.844111825
    2.733459459    2.894080283    2.894081690    2.861754732
    2.743468468    2.861204859    2.861255421    2.854578361
    2.753477477    2.735428946    2.735517662    2.819290004
    2.763486486    2.553226500    2.553328063    2.777177880
    2.773495495    2.363887748    2.363978629    2.761639372
    2.783504505    2.207024295    2.207091256    2.799409811
    2.793513514    2.103183905    2.103222408    2.897531326
    2.803522523    2.055645241    2.055655540    3.039048398
    2.813531532    2.055255023    2.055240214    3.188514260
    2.823540541    2.084768754    2.084734782    3.305784578
    2.833549550    2.123460486    2.123417024    3.358496039
    2.843558559    2.151831465    2.151792964    3.329417226
    2.853567568    2.155065454    2.155049472    3.222594230
    2.863576577    2.127196642    2.127214997    3.062632633
    2.873585586    2.075738490    2.075787706    2.885493886
    2.883594595    2.018342843    2.018407627    2.726136748
    2.893603604    1.970840833    1.970905818    2.606542328
    2.903612613    1.940213948    1.940269222    2.531712997
    2.913621622    1.927920848    1.927961052    2.495482417
    2.923630631    1.935235420    1.935259148    2.488133476
    2.933639640    1.964337586    1.964348453    2.500358289
    2.943648649    2.015796393    2.015803305    2.524199453
    2.953657658    2.086186770    2.086200911    2.553598207
    2.963666667    2.169067199    2.169095216    2.585685772
    2.973675676    2.257285659    2.257324043    2.620926955
    2.983684685    2.342091033    2.342127900    2.661498429
    2.993693694    2.411034285    2.411057569    2.709900215
    3.003702703    2.450345513    2.450351987    2.766500677
    3.013711712    2.451969939    2.451966418    2.826352021
    3.023720721    2.419737992    2.419733436    2.881903819
    3.033729730    2.367469660    2.367469373    2.927214204
    3.043738739    2.310700379    2.310706223    2.955835724
    3.053747748    2.261775780    2.261787606    2.961443913
    3.063756757    2.229825213    2.229841591    2.946795157
    3.073765766    2.221679418    2.221697267    2.927156194
    3.083774775    2.242074688    2.242089170    2.920098501
    3.093783784    2.291478690    2.291485194    2.935541692
    3.103792793    2.362093172    2.362089251    2.973802245
    3.113801802    2.436923662    2.436908923    3.024781939
    3.123810811    2.497206319    2.497181666    3.071481694
    3.133819820    2.534290471    2.534258233    3.102765207
    3.143828829    2.553910856    2.553874648    3.124077173
    3.153837838    2.569696407    2.569659334    3.154733343
    3.163846847    2.594691935    2.594654760    3.215058873
    3.173855856    2.636993617    2.636955014    3.313810878
    3.183864865    2.699311180    2.699269099    3.442879726
    3.193873874    2.780732962    2.780685897    3.580575682
    3.203882883    2.876423583    2.876373374    3.700294068
    3.213891892    2.974322786    2.974277904    3.777330815
    3.223900901    3.056229097    3.056203015    3.791164520
    3.233909910    3.106239492    3.106242136    3.729007492
    3.243918919    3.119135857    3.119165745    3.594110270
    3.253927928    3.100547345    3.100593141    3.408673210
    3.263936937    3.061213076    3.061261085    3.204506988
    3.273945946    3.012939031    3.012978537    3.011815446
    3.283954955    2.966807466    2.966832950    2.853239611
    3.293963964    2.933649393    2.933662572    2.743441391
    3.303972973    2.924061687    2.924072152    2.691325050
    3.313981982    2.944712706    2.944733789    2.700344340
    3.323990991    2.996880348    2.996921568    2.768057939
    3.334000000    3.079398880    3.079460663    2.887611516
    3.344009009    3.188372238    3.188446682    3.049670502
    3.354018018    3.312520412    3.312595133    3.242621742
    3.364027027    3.434082499    3.434143967    3.451390334
    3.374036036    3.539474226    3.539511235    3.657087578
    3.384045045    3.629092084    3.629100181    3.838739397
    3.394054054    3.714418146    3.714401244    3.977127947
    3.404063063    3.805064634    3.805031501    4.059507890
    3.414072072    3.899077858    3.899037984    4.083282851
    3.424081081    3.983981741    3.983944808    4.055324266
    3.434090090    4.046762620    4.046739881    3.987182456
    3.444099099    4.087405750    4.087407615    3.895682282
    3.454108108    4.122774215    4.122803714    3.806356605
    3.464117117    4.174076049    4.174126923    3.745503124
    3.474126126    4.251799712    4.251861235    3.724877960
    3.484135135    4.350149230    4.350210625    3.734964999
    3.494144144    4.450317474    4.450369030    3.754445093
    3.504153153    4.529221555    4.529253964    3.768495790
    3.514162162    4.570521587    4.570526727    3.777025991
    3.524171171    4.574249153    4.574225113    3.787449871
    3.534180180    4.559996127    4.559950895    3.807933927
    3.544189189    4.557152693    4.557099858    3.848739344
    3.554198198    4.587315905    4.587268548    3.919724127
    3.564207207    4.656233669    4.656203859    4.019333000
    3.574216216    4.759174730    4.759175372    4.127760202
    3.584225225    4.887729421    4.887771276    4.214411943
    3.594234234    5.032829761    5.032914873    4.258363526
    3.604243243    5.184380603    5.184499895    4.262770411
    3.614252252    5.323790187    5.323927529    4.242354499
    3.624261261    5.420243660    5.420382039    4.202179554
    3.634270270    5.446674150    5.446800695    4.140266511
    3.644279279    5.402596648    5.402705648    4.065190530
    3.654288288    5.320393451    5.320486311    3.999032331
    3.664297297    5.249793754    5.249875110    3.963841031
    3.674306306    5.232206237    5.232278641    3.970183518
    3.684315315    5.285196956    5.285259504    4.019086182
    3.694324324    5.404070052    5.404122006    4.111804023
    3.704333333    5.571266225    5.571311595    4.253807799
    3.714342342    5.766752254    5.766800206    4.448183356
    3.724351351    5.972279246    5.972338190    4.682600606
    3.734360360    6.165977341    6.166048908    4.918924772
    3.744369369    6.318847930    6.318927287    5.101338129
    3.754378378    6.397510156    6.397588851    5.186291252
    3.764387387    6.371120283    6.371186627    5.169796019
    3.774396396    6.226211772    6.226253929    5.086478042
    3.784405405    5.981604455    5.981619792    4.986118947
    3.794414414    5.685319690    5.685317977    4.906812704
    3.804423423    5.391007445    5.391001827    4.856016769
    3.814432432    5.136807294    5.136806690    4.811531931
    3.824441441    4.943517538    4.943528402    4.746663664
    3.834450450    4.824401104    4.824431483    4.658017654
    3.844459459    4.790562056    4.790621084    4.566998578
    3.854468468    4.845414783    4.845509009    4.496067802
    3.864477477    4.975683197    4.975813603    4.446418800
    3.874486486    5.152727010    5.152888918    4.402093694
    3.884495495    5.348165285    5.348352612    4.355780435
    3.894504505    5.549550261    5.549761372    4.322047806
    3.904513514    5.758964920    5.759202269    4.322717449
    3.914522523    5.975889189    5.976151906    4.364918432
    3.924531532    6.184735725    6.185017249    4.431335248
    3.934540541    6.365247919    6.365544407    4.486856125
    3.944549550    6.515414190    6.515727759    4.497023791
    3.954558559    6.651170225    6.651493708    4.443371571
    3.964567568    6.775948090    6.776248372    4.324327038
    3.974576577    6.862143581    6.862367401    4.150749232
    3.984585586    6.871398698    6.871498795    3.945371304
    3.994594595    6.787898797    6.787861426    3.739483038
    4.004603604    6.624910371    6.624765046    3.561018325
    4.014612613    6.406127223    6.405929238    3.421223116
    4.024621622    6.151456069    6.151254992    3.312065912
    4.034630631    5.876944500    5.876766955    3.216066579
    4.044639640    5.599255516    5.599111273    3.116091644
    4.054648649    5.334335102    5.334228437    2.997614876
    4.064657658    5.095434732    5.095368075    2.851894651
    4.074666667    4.896150992    4.896121591    2.683563255
    4.084675676    4.747228997    4.747220670    2.511386816
    4.094684685    4.643039492    4.643017937    2.358094991
    4.104693694    4.556072503    4.555998353    2.240987698
    4.114702703    4.453255473    4.453112755    2.169740556
    4.124711712    4.323200053    4.323012167    2.148121396
    4.134720721    4.187667347    4.187480130    2.176527454
    4.144729730    4.083260010    4.083112253    2.252918589
    4.154738739    4.032841150    4.032751369    2.370545704
    4.164747748    4.032785203    4.032754026    2.514636172
    4.174756757    4.059474523    4.059489588    2.660639104
    4.184765766    4.083076272    4.083117569    2.775211617
    4.194774775    4.080302244    4.080351824    2.826399933
    4.204783784    4.043335359    4.043384057    2.803368109
    4.214792793    3.979194540    3.979239301    2.723649384
    4.224801802    3.901935831    3.901974901    2.616222777
    4.234810811    3.827315643    3.827347878    2.502985995
    4.244819820    3.771229339    3.771255966    2.397390063
    4.254828829    3.748134007    3.748159135    2.310756715
    4.264837838    3.767381346    3.767410484    2.251894570
    4.274846847    3.829382077    3.829418812    2.222037684
    4.284855856    3.923359576    3.923400600    2.213643329
    4.294864865    4.028175569    4.028208274    2.215547692
    4.304873874    4.118856773    4.118864778    2.220602815
    4.314882883    4.180638794    4.180614746    2.229993401
    4.324891892    4.221070450    4.221024353    2.251409447
    4.334900901    4.261877892    4.261829540    2.292953905
    4.344909910    4.316910829    4.316874950    2.358481825
    4.354918919    4.382191213    4.382170175    2.447595614
    4.364927928    4.443785008    4.443771592    2.557016415
    4.374936937    4.489773212    4.489756257    2.680142791
    4.384945946    4.512433351    4.512398636    2.807708285
    4.394954955    4.497193843    4.497123627    2.931766961
    4.404963964    4.419858979    4.419742052    3.048965384
    4.414972973    4.270411440    4.270257932    3.157514468
    4.424981982    4.072837127    4.072675259    3.249676312
    4.434990991    3.869296403    3.869153109    3.309798563
    4.445000000    3.693473378    3.693361184    3.326343638
    4.455009009    3.561582341    3.561499727    3.308347947
    4.465018018    3.473401039    3.473339481    3.282757250
    4.475027027    3.412875572    3.412825671    3.273504546
    4.485036036    3.354609827    3.354564122    3.289745293
    4.495045045    3.281637173    3.281591375    3.333872562
    4.505054054    3.199432687    3.199386595    3.411203391
    4.515063063    3.128386652    3.128344226    3.526463591
    4.525072072    3.085143243    3.085111036    3.674324059
    4.535081081    3.074098581    3.074081723    3.838896510
    4.545090090    3.092841716    3.092839143    4.008546043
    4.555099099    3.139729116    3.139733436    4.189557995
    4.565108108    3.212209107    3.212212032    4.394283701
    4.575117117    3.299954193    3.299951234    4.614105152
    4.585126126    3.386019132    3.386010581    4.810948722
    4.595135135    3.459007780    3.458997905    4.938932106
