# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.001000000   33.306638491   33.305983800    4.221341895
    0.011009009   32.089041149   32.088332383    4.220572350
    0.021018018   30.412004720   30.411236070    4.219405280
    0.031027027   28.743206972   28.742396548    4.218089873
    0.041036036   27.137400196   27.136566289    4.216647246
    0.051045045   25.621745779   25.620904581    4.215090999
    0.061054054   24.210578069   24.209742887    4.213433630
    0.071063063   22.909351640   22.908532770    4.211686723
    0.081072072   21.717520280   21.716725239    4.209860845
    0.091081081   20.630733324   20.629967258    4.207965444
    0.101090090   19.642439336   19.641705471    4.206008808
    0.111099099   18.745001736   18.744301805    4.203998062
    0.121108108   17.930438822   17.929773435    4.201939218
    0.131117117   17.190889851   17.190258805    4.199837237
    0.141126126   16.518889680   16.518292199    4.197696132
    0.151135135   15.907514472   15.906949395    4.195519059
    0.161144144   15.350443571   15.349909494    4.193308430
    0.171153153   14.841969018   14.841464397    4.191066017
    0.181162162   14.376973965   14.376497191    4.188793046
    0.191171171   13.950894024   13.950443479    4.186490295
    0.201180180   13.559670552   13.559244644    4.184158172
    0.211189189   13.199701470   13.199298655    4.181796791
    0.221198198   12.867792954   12.867411759    4.179406037
    0.231207207   12.561113886   12.560752910    4.176985615
    0.241216216   12.277153972   12.276811897    4.174535105
    0.251225225   12.013685915   12.013361505    4.172053994
    0.261234234   11.768731626   11.768423723    4.169541711
    0.271243243   11.540532287   11.540239814    4.166997654
    0.281252252   11.327521980   11.327243934    4.164421209
    0.291261261   11.128304533   11.128039981    4.161811770
    0.301270270   10.941633242   10.941381320    4.159168748
    0.311279279   10.766393138   10.766153043    4.156491585
    0.321288288   10.601585488   10.601356477    4.153779757
    0.331297297   10.446314251   10.446095633    4.151032786
    0.341306306   10.299774233   10.299565367    4.148250236
    0.351315315   10.161240728   10.161041021    4.145431721
    0.361324324   10.030060451   10.029869350    4.142576903
    0.371333333    9.905643581    9.905460576    4.139685496
    0.381342342    9.787456789    9.787281404    4.136757259
