# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000  139.181462263  155.077861542    0.176521747
    0.011009009  323.362850914  366.423502591    1.114431115
    0.021018018  206.272127953  232.121176275    1.345440781
    0.031027027  145.287544807  162.415316574    1.620088754
    0.041036036  111.119393129  123.212027713    1.983628601
    0.051045045   90.596856011   99.422917820    2.433099965
    0.061054054   77.963089163   84.513905156    2.974311443
    0.071063063   70.323919747   75.231917785    3.619740183
    0.081072072   65.930467111   69.653398345    4.384039449
    0.091081081   63.417127846   66.318090292    5.279714129
    0.101090090   61.680930279   64.032568295    6.313433781
    0.111099099   60.186446739   62.148856214    7.480116886
    0.121108108   59.001466856   60.648584390    8.751356780
    0.131117117   58.218558103   59.606320005   10.078021384
    0.141126126   57.358903529   58.566216049   11.442260590
    0.151135135   55.457880015   56.569177111   12.925934309
    0.161144144   51.857947132   52.915423297   14.696069324
    0.171153153   46.857875587   47.847137710   16.895321331
    0.181162162   41.413382785   42.299094813   19.509813056
    0.191171171   36.380676032   37.141781816   22.249816362
    0.201180180   32.158313619   32.795200404   24.513523906
    0.211189189   28.784919226   29.311520077   25.618040468
    0.221198198   26.168400504   26.603115780   25.285326718
    0.231207207   24.233794361   24.593390810   23.861520158
    0.241216216   22.947969513   23.244996741   21.954346237
    0.251225225   22.294874312   22.537698217   19.992206481
    0.261234234   22.265173790   22.459027162   18.166968761
    0.271243243   22.861802284   23.009880281   16.601185110
    0.281252252   24.103663850   24.208167252   15.424609258
    0.291261261   26.017298672   26.080677831   14.725473499
    0.301270270   28.614404849   28.640658650   14.496217108
    0.311279279   31.868266923   31.862610897   14.612627868
    0.321288288   35.727621977   35.691346547   14.841490530
    0.331297297   40.190971379   40.111841729   14.903092205
    0.341306306   45.365645671   45.211293486   14.598360054
    0.351315315   51.404758211   51.122511106   13.921597917
    0.361324324   58.360463110   57.879500606   13.032021785
    0.371333333   66.088501146   65.333037553   12.096945924
    0.381342342   74.238726746   73.168931255   11.180358865
    0.391351351   82.267712993   80.933235966   10.260999132
    0.401360360   89.411423366   87.985881068    9.317750308
    0.411369369   94.466993513   93.249947006    8.388614605
    0.421378378   95.683677666   95.012362207    7.553001145
    0.431387387   91.696907268   91.736310738    6.880247352
    0.441396396   82.974814718   83.590450665    6.407257980
    0.451405405   71.721319062   72.615186376    6.146127449
    0.461414414   60.300133971   61.221139802    6.095029554
    0.471423423   50.138991089   50.958543916    6.238044686
    0.481432432   41.717949933   42.399400098    6.530017905
    0.491441441   34.978807477   35.530011775    6.871225811
    0.501450450   29.660434146   30.103774867    7.100465873
    0.511459459   25.475474457   25.834344317    7.055459100
    0.521468468   22.181632672   22.475708340    6.685877310
    0.531477477   19.592899589   19.836448121    6.090901508
    0.541486486   17.559661117   17.760213008    5.426281483
    0.551495495   15.942802761   16.100663293    4.800806144
    0.561504505   14.601838777   14.713077785    4.252838696
    0.571513514   13.412487296   13.476245987    3.781745640
    0.581522523   12.305823730   12.329895902    3.382062795
    0.591531532   11.283742905   11.281655797    3.054984862
    0.601540541   10.385975786   10.369515914    2.803597742
    0.611549550    9.646650828    9.622005818    2.627862346
    0.621558559    9.076903531    9.045428428    2.523818041
    0.631567568    8.667947974    8.628327126    2.483082696
    0.641576577    8.399883345    8.349738944    2.489717812
    0.651585586    8.254247580    8.190855438    2.516458345
    0.661594595    8.228532942    8.149006712    2.528238660
    0.671603604    8.338167513    8.240069203    2.498657121
    0.681612613    8.596108229    8.479818385    2.426460699
    0.691621622    8.978420889    8.852270192    2.331304044
    0.701630631    9.389636791    9.276188799    2.232018521
    0.711639640    9.655455816    9.590323960    2.129451413
    0.721648649    9.588938893    9.601678577    2.008942276
    0.731657658    9.117517888    9.207059836    1.859240347
    0.741666667    8.342175790    8.478212401    1.687241775
    0.751675676    7.452007590    7.599831407    1.512638199
    0.761684685    6.603104518    6.740958785    1.353152408
    0.771693694    5.873757914    5.993528446    1.217385391
    0.781702703    5.282896612    5.384321704    1.106287114
    0.791711712    4.820202098    4.906068347    1.016808943
    0.801720721    4.465993760    4.539679952    0.944532656
    0.811729730    4.201522576    4.266146155    0.885321177
    0.821738739    4.013926556    4.072273907    0.836387696
    0.831747748    3.897085480    3.951800647    0.796442072
    0.841756757    3.849596594    3.903426322    0.765000440
    0.851765766    3.872823722    3.928838599    0.741741608
    0.861774775    3.970914153    4.032491658    0.726342115
    0.871783784    4.152547446    4.222990472    0.718571747
    0.881792793    4.432088611    4.514290229    0.718410686
    0.891801802    4.826528974    4.923003747    0.726123581
    0.901810811    5.345640673    5.458120066    0.742302266
    0.911819820    5.973562977    6.100889143    0.767894383
    0.921828829    6.642676240    6.776661887    0.804234680
